,Unnamed: 0,time,country,temperatureMax,temperatureMin
0,11984,2020-01-01,Ghana,97.64,65.21
1,11985,2020-01-02,Ghana,95.5,65.39
2,11986,2020-01-03,Ghana,92.4,65.57
3,11987,2020-01-04,Ghana,93.8,61.54
4,11988,2020-01-05,Ghana,97.55,62.97
5,11989,2020-01-06,Ghana,97.55,62.79
6,11990,2020-01-07,Ghana,97.83,65.64
7,11991,2020-01-08,Ghana,99.54,70.48
8,11992,2020-01-09,Ghana,101.89,70.81
9,11993,2020-01-10,Ghana,102.36,69.62
10,11994,2020-01-11,Ghana,97.59,73.47
11,11995,2020-01-12,Ghana,101.2,72.55
12,11996,2020-01-13,Ghana,100.91,77.66
13,11997,2020-01-14,Ghana,97.53,75.6
14,11998,2020-01-15,Ghana,100.08,68.81
15,11999,2020-01-16,Ghana,102.1,68.79
16,12000,2020-01-17,Ghana,100.97,69.93
17,12001,2020-01-18,Ghana,99.96,68.25
18,12002,2020-01-19,Ghana,97.92,68.47
19,12003,2020-01-20,Ghana,99.66,68.68
20,12004,2020-01-21,Ghana,99.95,73.88
21,12005,2020-01-22,Ghana,100.02,74.13
22,12006,2020-01-23,Ghana,100.62,73.76
23,12007,2020-01-24,Ghana,98.86,69.6
24,12008,2020-01-25,Ghana,98.56,65.44
25,12009,2020-01-26,Ghana,99.16,63.94
26,12010,2020-01-27,Ghana,100.0,62.75
27,12011,2020-01-28,Ghana,99.89,67.99
28,12012,2020-01-29,Ghana,101.46,67.69
29,12013,2020-01-30,Ghana,102.92,65.29
30,12014,2020-01-31,Ghana,101.57,63.1
31,12015,2020-02-01,Ghana,100.17,65.11
32,12016,2020-02-02,Ghana,99.36,65.19
33,12017,2020-02-03,Ghana,99.72,64.78
34,12018,2020-02-04,Ghana,99.83,60.44
35,12019,2020-02-05,Ghana,99.95,62.69
36,12020,2020-02-06,Ghana,98.96,68.81
37,12021,2020-02-07,Ghana,100.52,67.99
38,12022,2020-02-08,Ghana,102.72,67.63
39,12023,2020-02-09,Ghana,102.51,68.35
40,12024,2020-02-10,Ghana,104.65,74.78
41,12025,2020-02-11,Ghana,101.99,75.47
42,12026,2020-02-12,Ghana,99.17,72.01
43,12027,2020-02-13,Ghana,99.68,65.21
44,12028,2020-02-14,Ghana,100.39,67.29
45,12029,2020-02-15,Ghana,101.34,67.02
46,12030,2020-02-16,Ghana,102.32,66.16
47,12031,2020-02-17,Ghana,105.47,66.14
48,12032,2020-02-18,Ghana,105.43,74.64
49,12033,2020-02-19,Ghana,104.92,76.05
50,12034,2020-02-20,Ghana,103.03,72.81
51,12035,2020-02-21,Ghana,102.38,74.76
52,12036,2020-02-22,Ghana,105.57,75.88
53,12037,2020-02-23,Ghana,104.27,76.3
54,12038,2020-02-24,Ghana,104.28,72.38
55,12039,2020-02-25,Ghana,102.15,68.31
56,12040,2020-02-26,Ghana,104.15,68.28
57,12041,2020-02-27,Ghana,105.16,71.25
58,12042,2020-02-28,Ghana,104.98,74.72
59,12043,2020-02-29,Ghana,106.72,72.73
60,12044,2020-03-01,Ghana,107.73,69.76
61,12045,2020-03-02,Ghana,104.74,77.26
62,12046,2020-03-03,Ghana,103.38,75.54
63,12047,2020-03-04,Ghana,101.15,74.28
64,12048,2020-03-05,Ghana,102.96,76.0
65,12049,2020-03-06,Ghana,102.06,77.14
66,12050,2020-03-07,Ghana,102.81,77.03
67,12051,2020-03-08,Ghana,102.42,76.25
68,12052,2020-03-09,Ghana,100.11,79.86
69,12053,2020-03-10,Ghana,101.84,77.06
70,12054,2020-03-11,Ghana,101.53,79.29
71,12055,2020-03-12,Ghana,104.35,78.63
72,12056,2020-03-13,Ghana,100.71,79.89
73,12057,2020-03-14,Ghana,96.65,77.94
74,12058,2020-03-15,Ghana,103.39,76.88
75,12059,2020-03-16,Ghana,102.9,78.01
76,12060,2020-03-17,Ghana,103.09,80.97
77,12061,2020-03-18,Ghana,102.0,79.43
78,12062,2020-03-19,Ghana,104.2,80.35
79,12063,2020-03-20,Ghana,96.96,75.92
80,12064,2020-03-21,Ghana,96.05,78.82
81,12065,2020-03-22,Ghana,101.23,77.03
82,12066,2020-03-23,Ghana,93.15,76.03
83,12067,2020-03-24,Ghana,91.87,72.63
84,12068,2020-03-25,Ghana,92.13,71.92
85,12069,2020-03-26,Ghana,98.54,74.74
86,12070,2020-03-27,Ghana,97.09,75.53
87,12071,2020-03-28,Ghana,98.93,76.64
88,12072,2020-03-29,Ghana,99.27,78.13
89,12073,2020-03-30,Ghana,97.85,73.98
90,12074,2020-03-31,Ghana,98.63,78.78
91,12075,2020-04-01,Ghana,100.64,77.92
92,12076,2020-04-02,Ghana,98.38,76.98
93,12077,2020-04-03,Ghana,101.17,78.75
94,12078,2020-04-04,Ghana,98.37,76.85
95,12079,2020-04-05,Ghana,101.6,75.9
96,12080,2020-04-06,Ghana,101.27,78.34
97,12081,2020-04-07,Ghana,100.78,77.37
98,12082,2020-04-08,Ghana,98.68,78.62
99,12083,2020-04-09,Ghana,99.89,76.24
100,12084,2020-04-10,Ghana,88.66,73.6
101,12085,2020-04-11,Ghana,95.35,74.09
102,12086,2020-04-12,Ghana,95.95,74.05
103,12087,2020-04-13,Ghana,97.79,76.76
104,12088,2020-04-14,Ghana,98.62,77.39
105,12089,2020-04-15,Ghana,101.32,78.11
106,12090,2020-04-16,Ghana,100.88,78.05
107,12091,2020-04-17,Ghana,99.39,75.54
108,12092,2020-04-18,Ghana,97.23,77.8
109,12093,2020-04-19,Ghana,96.62,75.37
110,12094,2020-04-20,Ghana,97.05,75.38
111,12095,2020-04-21,Ghana,95.99,75.45
112,18032,2019-12-31,Nigeria,95.07,63.11
113,18033,2020-01-01,Nigeria,90.25,58.95
114,18034,2020-01-02,Nigeria,90.55,56.69
115,18035,2020-01-03,Nigeria,91.31,57.43
116,18036,2020-01-04,Nigeria,93.26,60.5
117,18037,2020-01-05,Nigeria,94.0,63.94
118,18038,2020-01-06,Nigeria,96.24,65.43
119,18039,2020-01-07,Nigeria,97.29,67.82
120,18040,2020-01-08,Nigeria,98.66,67.52
121,18041,2020-01-09,Nigeria,97.74,65.46
122,18042,2020-01-10,Nigeria,95.78,67.08
123,18043,2020-01-11,Nigeria,96.09,67.42
124,18044,2020-01-12,Nigeria,99.35,68.76
125,18045,2020-01-13,Nigeria,99.27,69.29
126,18046,2020-01-14,Nigeria,98.92,69.87
127,18047,2020-01-15,Nigeria,97.45,66.21
128,18048,2020-01-16,Nigeria,96.5,63.04
129,18049,2020-01-17,Nigeria,94.99,64.74
130,18050,2020-01-18,Nigeria,95.15,63.45
131,18051,2020-01-19,Nigeria,96.98,63.62
132,18052,2020-01-20,Nigeria,98.27,66.82
133,18053,2020-01-21,Nigeria,97.11,67.39
134,18054,2020-01-22,Nigeria,96.83,64.82
135,18055,2020-01-23,Nigeria,94.94,64.62
136,18056,2020-01-24,Nigeria,93.54,62.12
137,18057,2020-01-25,Nigeria,96.04,59.81
138,18058,2020-01-26,Nigeria,96.69,60.91
139,18059,2020-01-27,Nigeria,98.51,62.7
140,18060,2020-01-28,Nigeria,97.47,63.87
141,18061,2020-01-29,Nigeria,99.15,62.48
142,18062,2020-01-30,Nigeria,97.97,62.31
143,18063,2020-01-31,Nigeria,96.98,60.22
144,18064,2020-02-01,Nigeria,96.24,59.67
145,18065,2020-02-02,Nigeria,96.41,61.81
146,18066,2020-02-03,Nigeria,94.15,62.65
147,18067,2020-02-04,Nigeria,94.18,62.31
148,18068,2020-02-05,Nigeria,95.88,64.03
149,18069,2020-02-06,Nigeria,98.78,65.53
150,18070,2020-02-07,Nigeria,99.91,66.64
151,18071,2020-02-08,Nigeria,98.48,67.47
152,18072,2020-02-09,Nigeria,97.26,66.59
153,18073,2020-02-10,Nigeria,96.04,66.07
154,18074,2020-02-11,Nigeria,94.91,60.66
155,18075,2020-02-12,Nigeria,96.34,60.29
156,18076,2020-02-13,Nigeria,98.45,62.97
157,18077,2020-02-14,Nigeria,99.66,65.16
158,18078,2020-02-15,Nigeria,99.33,65.58
159,18079,2020-02-16,Nigeria,97.96,66.53
160,18080,2020-02-17,Nigeria,96.83,66.36
161,18081,2020-02-18,Nigeria,99.04,69.82
162,18082,2020-02-19,Nigeria,100.46,65.98
163,18083,2020-02-20,Nigeria,100.67,69.24
164,18084,2020-02-21,Nigeria,101.71,71.57
165,18085,2020-02-22,Nigeria,101.58,69.84
166,18086,2020-02-23,Nigeria,101.69,67.93
167,18087,2020-02-24,Nigeria,98.82,64.85
168,18088,2020-02-25,Nigeria,99.37,65.33
169,18089,2020-02-26,Nigeria,100.11,68.3
170,18090,2020-02-27,Nigeria,99.12,72.07
171,18091,2020-02-28,Nigeria,102.4,72.97
172,18092,2020-02-29,Nigeria,98.79,71.71
173,18093,2020-03-01,Nigeria,95.69,70.79
174,18094,2020-03-02,Nigeria,99.92,71.33
175,18095,2020-03-03,Nigeria,101.19,71.75
176,18096,2020-03-04,Nigeria,102.07,71.6
177,18097,2020-03-05,Nigeria,102.46,71.45
178,18098,2020-03-06,Nigeria,99.56,73.53
179,18099,2020-03-07,Nigeria,102.07,69.52
180,18100,2020-03-08,Nigeria,102.55,73.35
181,18101,2020-03-09,Nigeria,101.19,71.16
182,18102,2020-03-10,Nigeria,98.38,74.46
183,18103,2020-03-11,Nigeria,99.7,74.38
184,18104,2020-03-12,Nigeria,98.48,68.4
185,18105,2020-03-13,Nigeria,101.03,66.76
186,18106,2020-03-14,Nigeria,102.66,65.3
187,18107,2020-03-15,Nigeria,101.07,69.03
188,18108,2020-03-16,Nigeria,102.6,70.33
189,18109,2020-03-17,Nigeria,102.15,71.73
190,18110,2020-03-18,Nigeria,102.66,71.15
191,18111,2020-03-19,Nigeria,102.1,71.54
192,18112,2020-03-20,Nigeria,98.82,72.99
193,18113,2020-03-21,Nigeria,98.6,73.26
194,18114,2020-03-22,Nigeria,96.89,74.59
195,18115,2020-03-23,Nigeria,89.96,73.34
196,18116,2020-03-24,Nigeria,90.77,72.3
197,18117,2020-03-25,Nigeria,93.21,72.0
198,18118,2020-03-26,Nigeria,99.34,72.92
199,18119,2020-03-27,Nigeria,102.05,75.1
200,18120,2020-03-28,Nigeria,101.94,74.54
201,18121,2020-03-29,Nigeria,99.26,75.54
202,18122,2020-03-30,Nigeria,98.99,76.72
203,18123,2020-03-31,Nigeria,96.96,74.44
204,18124,2020-04-01,Nigeria,92.53,73.67
205,18125,2020-04-02,Nigeria,96.65,75.22
206,18126,2020-04-03,Nigeria,95.35,75.76
207,18127,2020-04-04,Nigeria,96.64,74.44
208,18128,2020-04-05,Nigeria,95.89,76.5
209,18129,2020-04-06,Nigeria,95.64,76.07
210,18130,2020-04-07,Nigeria,95.86,75.16
211,18131,2020-04-08,Nigeria,92.67,73.57
212,18132,2020-04-09,Nigeria,92.62,74.35
213,18133,2020-04-10,Nigeria,96.23,73.46
214,18134,2020-04-11,Nigeria,96.96,73.31
215,18135,2020-04-12,Nigeria,100.62,73.25
216,18136,2020-04-13,Nigeria,102.29,72.31
217,18137,2020-04-14,Nigeria,101.71,74.45
218,18138,2020-04-15,Nigeria,103.86,74.78
219,18139,2020-04-16,Nigeria,98.85,74.43
220,18140,2020-04-17,Nigeria,96.67,74.88
221,18141,2020-04-18,Nigeria,95.21,75.61
222,18142,2020-04-19,Nigeria,93.65,72.39
223,18143,2020-04-20,Nigeria,98.13,74.76
